,Album,Title,Lyrics
13,Dopethrone,Dopethrone,"Dope priest prophecy, doomantra from beneath the sea
Green throne raised to the black sun, doom child, wake to planet song

Rise, black amps tear the sky
Feedback will free your mind and set you free
Rise, black amps tear the sky
Riff hewn altar wreathed in smoke and weed
Dopethrone, in this land of sorcery
Dopethrone, vision through T.H.C
Dopethrone, feedback will free
Dopethrone, three wizards crowned with weed, yeah

Black monolith charged with unlight, sacrifice to forever midnight
Towers, titan sonic wave, sorcery, necromantic slaves

Rise, black amps tear the sky
Feedback will free your mind and set you free
Rise, black amps tear the sky
Riff hewn altar wreathed in smoke and weed, yeah
Dopethrone, in this land of sorcery
Dopethrone, vision through T.H.C
Dopethrone, feedback will free
Dopethrone, three wizards crowned with weed, yeah

In this land of sorcery vision through T.H.C
Holy feedback, it will free three wizards crowned with weed

Rise, rise, rise, rise
Rise, rise, rise, rise

Smoke"
14,Witchcult Today,Dunwich,"Dunwich child
You know not your fathers' name
Dope numbs the pain
Ascend dark wooded hills to kane
Your mothers' witches
Burnt at the stake for sorcery
You were conceived
Upon the altar, rites obscene

Child of Dunwich rise
You have your fathers' eyes
Child of Dunwich rise
End the world that you despise

Dunwich child
Of whispered past now they'll learn
High on the hill
Black clouds gather now they'll burn
Bay at the stars
""Why was I born at all?""
Hear voice of doom
From other worlds your fathers' call

Our time has come
The end has begun..."
15,We Live,Eko Eko Azarak: I. Invocation - II. Ritual,"Black pyramids under martian sun
Priests chant ancient necropsalms
Summon winds across the desert sands
Sun sets on this dying land

Black ships tear through martian skies
Earthbound send by sorcerous flight
13 years through black depths of space
Ancient race seed this cursed place

Come my fanatics come to the sabbat....
Com my fanatics come to the sabbat...."
16,Electric Wizard,Electric Wizard,"One day we were sitting and wondering where it's at
When down came a dragon with a wizard on his back
He said to us, step up, wanna take you for a trip
Then up we flew off into space and the astral gates we slipped
Alright

Looking back behind us, to the freaks and heads we wave
And off beyond our system out until they're deep in space
And on the edge of time and space there stood two towers black
But on we flew, the wizard knew there was no turning back
Cast your spell on me

Higher and higher, through the cosmos we had tripped
Seeing stars turned inside out, we thought our minds had flipped
Colors swirling, sounds are drifting, thinking we were dead
The wizard turned and spoke to us and, this is what he said

Through the virgin universe, upon his back we played
Creating and destroying with the music we made
Undulate the cosmic rhythm, galaxies were born
Clouds of blue, fluorescent dunes, spreading out before
Yeah"
17,We Live,Flower of Evil a.k.a. Malfiore,"Malfiore
My flower of evil
Maledicione
Curse yet beautiful

Malfiore
Priestess of evil
Maledicione
Enslaved to you I kneel"
18,Time to Die,Funeral of Your Mind,"Your burnt and twisted mind is to blame
The lies a coffin for your brain
Your future now rots away
Cos it's your funeral every day
It's the Funeral Of Your Mind
It's the Funeral Of Your Mind
Lost and self-deceived you'll never find
It's the Funeral Of Your Mind
All your friends (ha ha) say you're insane
But you don't need them anyway
It's the Funeral Of Your Mind
As your future rots away
It's the Funeral Of Your Mind
You never f*cking listened anyway
Now you realise it's too late
We had all the answers you can't find
It's the Funeral Of Your Mind
....Funeral Of Your Mind
The Funeral Of Your Mind
The Funeral Of Your Mind
The Funeral Of Your Mind"
19,Dopethrone,Funeralopolis,"Funeral planet, dead black asteroid
Mausoleum, this world is a tomb
Human zombies, staring blank faces
No reason to live, dead in the womb
Death shroud existence, slave for a pittance
Condemned to die before I could breathe
Millions are screaming, the dead are still living
This Earth has died yet no one has seen

Funeralopolis

I don't care, this world means nothing
Life has no meaning, my feelings are numb
Faceless masses filed like gravestones
Sacrificed for the glory of one
Funerary cities, flesh press factories
Corporate maggots feed on the carrion
Funeralopolis, grey morgue apocalypse
Black clouds form to block out the sun

Funeral planet, dead black asteroid
Mausoleum, this world is a tomb
Human zombies, staring blank faces
No reason to live, dead in the womb
Funeralopolis
Planet of the dead
Funeralopolis
Planet of the dead

Death shroud existence, slave for a pittance
Condemned to die before I could breathe
Millions are screaming, the dead are still living
This Earth has died yet no one has seen
Funeralopolis
Planet of the dead
Funeralopolis
Planet of the dead

Funeralopolis
Funeralopolis

Nuclear warheads ready to strike
This world is so fucked, let's end it tonight
Nuclear warheads ready to strike
This world is so fucked, let's end it tonight
Nuclear warheads ready to strike
This world is so fucked, let's end it tonight
Nuclear warheads ready to strike
This world is so fucked, let's end it tonight
Nuclear warheads ready to strike
This world is so fucked, let's end it tonight
Nuclear warheads ready to strike
This world is so fucked, let's end it tonight
Nuclear warheads ready to strike
This world is so fucked, let's end it tonight

Fuck"
20,Wizard Bloody Wizard,Hear the Sirens Scream,"Listen

Dethroned emperors
Hatred our creed
Knights of fuzz riding
On blackened steeds

Hear the sirens scream
They're calling, calling for me
Yeah

This doomed sermon
Praises all who fail
Black robed disciples
And angels from hell

Hear the sirens scream
They're calling, calling for me
Yeah

We are the night
We hate the light
We have no future
We are the doomed
Drugs our religion
Violence our hymn
Killing for freedom
Then the sirens scream again

Can you hear them screaming?

The song of the sirens
Yes, tormenting my mind
All of our pleasures
Are now a crime

Hear the sirens scream
They're calling, calling for me

Hear the sirens scream
They're screaming, screaming for me
Yeah

We are the night
We hate the light
We have no future
We are the doomed
Drugs our religion
Violence our hymn
Killing for freedom
Then the sirens scream again

Can you hear them screaming?

Hear the sirens scream
They're calling, calling for me

Hear the sirens scream
They're screaming, screaming for me"
21,Time to Die,I Am Nothing,"Stillborn children. Saturn's children the living dead
We have created this abyss, darkness, surrounding us
Raise the flag of hate against this human race
Rise and kill & wipe them all away....
I Am Nothing
I Mean Nothing
I See Nothing
I Feel Nothing...as I kill you
We the Old Ones did not forget
We are the Supercoven, we wait with bated breath
They think themselves as Gods ..now are they free?
Mindless slaves to their lusts and technology
I Am Nothing
I Mean Nothing
I See Nothing
I Feel Nothing....as I kill you
I Am Nothing
I Feel Nothing
I Am Nothing
You Are Nothing....
To Me...
Nothing...
Nothing...
I Feel Nothing as I kill you....."
22,Time to Die,Incense for the Damned,"You say drugs are evil
But your world seems worse to me
I don't give a f*ck about anyone
Or your society. I just need
Incense for the Damned
Our lives are condemned
Incense for the Damned
Our lives are condemned anyway...
Marijuana burns inside my crypt
High up here I don't need to take your shit
You people try to bring us down
But soon you'll all be chocking on
Incense for the Damned
I wanna get high before I die
I wanna get high before I die, I wanna die....
Like Caligula is how I would treat this world if it were mine...
But this world has no love for me
A useless freak, turn your back to society....
We wanna get high before we die
We wanna get high before we die
We wanna die...I wanna die"
23,Dopethrone,"I, The Witchfinder","[Sample: I am Albino. You wish to see me?]

I am Albino, evil witchfinder
I'll cleanse her sins, for witchcraft I condemn her
My implements of torture are bloody red
My conviction of sorcery will leave you dead
Will leave you dead
Will leave you dead

I am Albino, evil witchfinder
I know she's guilty before I find her
I'll pierce her flesh to find his mark
Torture, my pleasure, true servant of the dark
True servant of the dark

I, the witchfinder
I, the witchfinder
I, the witchfinder
I, the witchfinder
I, the witchfinder
I, the witchfinder
I, the witchfinder
I, the witchfinder
I, the witchfinder
I, I, I, I..."
24,Come My Fanatics....,Ivixor B / Phase Inducer,[Instrumental]
25,Legalise Drugs & Murder,Legalise Drugs & Murder,"Legalise drugs and murder
Legalise drugs and murder

Black amps tear the sky
Ten million late to die
Losers bang your head tonight
Come fanatics, hear our cry

Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder

Get high kneel to the riff
This world makes us sick
Listen man, we are the night
Raise them now, bongs and knives

Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder
Legalise drugs and murder

Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave
Children of the grave"
26,Time to Die,Lucifer's Slaves,"We are Lucifer's Slaves
Born dead we'll never be saved
When we're high we are free
Our blood weed & LSD
Cos...Losers got nothing to lose
We are sick of your abuse
The Chosen Few and The Living Dead
We're all Lucifer's Slaves in the end
Dead souls reborn to kill
Now undead we cannot feel
We are the Antichrists
We are the New Reich
F*ck your world, f*ck everything...
Lucifer's Slaves
Beyond being saved
You can't beat the dead...
Die...DIE...F*ck YOU!........"
27,,Mind transferal,(Instrumental)
28,Dopethrone,Mind Transferral,"And wondering where it's at
When down came a dragon
With a wizard on his back

He said to us
""Step up, wanna take you for a trip""
Then up we flew off into space
And the astral gates we slipped, alright

Looking back behind us
To the freaks and heads we wave
And off beyond our system out
Until they're deep in space

And on the edge of time and space
There stood two towers black
But on we flew, the wizard knew
There was no turning back"
29,Electric Wizard,Mountains of Mars,[Instrumental]
30,Wizard Bloody Wizard,Mourning of the Magicians,"Distorted shadows scream
As Saturn's children dream
Faded colours bleed
I can see you don't believe

So come together
And feel it now
Goodbye, farewell
I'll see you in hell

The hunters now
Become the hunted
Here's the darkness
That you always wanted

Come together
And feel it now
Goodbye, farewell
I'll see you in hell

I'll see you in hell
I'll see you in hell
I'll see you in hell
I'll see you in hell!

The children call to me
We have the answers that you seek
I know it's been too long
But at last, the light has come

Your gods are dragged
Beneath you and crucified
Now you have everything
But everything has died

So come together
And feel it now
Goodbye, farewell
I'll see you in hell

Distorted shadows scream
As Saturn's children dream
Faded colours bleed
I can see you don't believe

So come together
And feel it now
Goodbye, farewell
I'll see you in hell

I'll see you in hell
I'll see you in hell
I'll see you in hell
I'll see you in hell!

The children call to me
We have the answers that you seek
I know it's been too long
But at last, the light has come
As you die"
31,Electric Wizard,Mourning Prayer,"Poison clouds in the sky
Acid rain in my eyes
Starving children on my TV
Victims of technology

Politicians, can't they see
Their greed is destroying me
Politicians, are they blind
Time's run out for mankind

Devil plunges into the sun
Things were said but nothing done
Now too late, can't you see
Human race wants their disease"
32,,Mourning Prayer Pt.1,"Poison clouds in the sky
Acid rain in my eyes
Starving children of my TV
Victims of technology

Politicians, can't they see
Their greed is destroying me
Politicians, are they blind
Time's run out for mankind

Devil plunges into the sun
Things were said but nothing done
Now too late, can't you see
Human race wants their disease"
33,Legalise Drugs & Murder,Murder & Madness,"I hear the night calling it knows my name
I hear the night screaming summoned again
My need My lust for vengeance, black wings of hate
My wrath at last has reason, legions awake!

And when the night calls
We rise, we kill
Our covens grow in darkness
Nurtured by weed and pills

Rise, Rise
Legions of Hatred
Rise, Rise
Legions of Hatred"
34,Wizard Bloody Wizard,Necromania,"We love your virgin blood
Death is our drug
Shadows, we hunt the streets
High on your screams

'Cause she loves necromania
Death her pleasure
'Cause she loves necromania
Black whips of leather
Funeral shadows, black hooded figures

Death her pleasure
Necromania

We rise from the tomb
Your flesh is our doom
Screaming, chained in our crypt
Too late, you can't resist

'Cause she loves necromania
Death her pleasure
'Cause she loves necromania
Black whips of leather
Funeral shadows, black hooded figures

Death her pleasure
Necromania

At last, so sweet, so dead
We drink your final breath
Torture, bloodlust, and pain
We need to kill again

'Cause she loves necromania
Death her pleasure
'Cause she loves necromania
Black whips of leather
Funeral shadows, dark hooded figures

Death her pleasure
Necromania

Pleasures of darkness
You'll soon be screaming
Funeral shadows
At night a creeping"
35,,Night Of The Shape,Instrumental
