,Album,Title,Lyrics
59,Time to Die,Time to Die,"This barren earth defiled by man
Raped & tortured, yeah whatever man
Hatred, greed & misery
Is this to be, our foul destiny?
I wanna scream but I'm sick, this world inherited by the weak
But I don't care what you say all the flowers turned to black and died anyway...
It's Time To Die
Wake up baby it's time to die
Wake up children it's time to die, no more time to cry
This world is dead, seek your own way
I've a gun named Oblivion that'll take all the pain away
All our pain away...Yeah
It's Time To Die
We're all shadows in the darkness
Wake up baby it's time to die, I said
Wake the children it's Time To Die
It's time to die...DIE!!
Maybe I'm already dead.......
We're all shadows in the darkness"
60,Witchcult Today,Torquemada '71,"Baby writhing on my torture rack
Necrosadist
Your naked flesh bears His mark
Feed my caress

Torquemada 71
I am the inquisition
Torquemada 71
From your sweet lips, confession
Torquemada 71
My countess Bathory
Torquemada 71
Come now and torture me... yeah

Of all my victims, you loved the pain
My necroqueen
The bloody countess reborn again
""Oui la torturatrice"""
61,Black Masses,Turn Off Your Mind,"Black acid nightmare, demons rise inside

Acid burns your mind, you will never find
Only darkness inside, turn, turn off your mind

Colours die and turn to grey, all love has turned to pain

Acid burns your mind, you will never find
Only darkness inside, turn, turn off your mind

Acid burns your mind, you will never find
Only darkness inside, turn, turn off your mind

Turn, turn off your mind, turn, turn off your mind
Turn, turn off your mind, turn, turn off your mind
Turn, turn off your mind, turn, turn off your mind
Turn, turn off your mind, turn, turn off your mind
Turn, turn off your mind, turn, turn off your mind
Turn, turn off your mind"
62,We Live,Tutti I Colori Del Buio,(Instrumental)
63,Black Masses,Venus in Furs,"I am the Zodiac, I am the stars
You are the sorceress, my priestess of Mars
Queen of the night, swathed in satin black
Your ivory flesh upon my torture rack

My Venus in furs

To your leather boots I offer prayer
You rise like a cobra, evil dressed in furs
But your venom, a black drug inside my veins
I need it everyday to take away the pain

My Venus in furs

I am Zodiac, I am the stars
You are the sorceress, Venus in furs

I am Zodiac, I am the stars
You are the sorceress, Venus in furs

I am the Zodiac, I am the Zodiac, I am the Zodiac, I am the Zodiac
I am the Zodiac, I am the Zodiac, I am the Zodiac, I am the Zodiac
I am the Zodiac, I am the Zodiac, I am the Zodiac, I am the Zodiac
I am the Zodiac, I am the Zodiac, I am the Zodiac, I am the Zodiac"
64,Dopethrone,Vinum Sabbathi,"[Intro]
""When you get into one of these groups, there's only a couple of ways you can get out: one is death, the other is mental institutions...""

[Verse 1]
Extracted essence of the stone
Narcotic of the faceless ones
I awake on planet black
Freezing moon, no turning back

[Chorus]
Forbidden Sorcery
Vinum Sabbathi

[Verse 2]
Now I'm a slave to the black drug
Forced to serve this black god
I thought myself a master of the arts
This dimension of misery is my penance

[Chorus]"
65,Dopethrone,We Hate You,"""You see man as a rather dismal creature.”
""Yes, why not? Look around, you'll see what's there. Fear and frightened people who kill what they can't understand.""

A seed of hate from the day I was born
My right to vengeance from me has been torn
Hopeless and drugged - my black emotions seethe
Loveless and cold - my hate begins to breed

Black nebula, seething in my brain
Then your fucking world brings me down again
So I'll take my fathers gun and I walk down to the street
I'll have my vengeance now with everyone I meet, yeah!

A seed of hate from the day I was born
My right to vengeance from me has been torn
Hopeless and drugged - my black emotions seethe
Loveless and cold - my hate begins to breed

We... hate you! (repeat to the end)"
66,,Weird Tales,"From ancient Yuggoth, black rays emit
Evils narcotic cyclopean pits
In dark babelian towers await
Lie dreaming until the time will awake

What man has seen unknown Kadath
Whose dreamy angles, confused and trapped
Beyond the frozen waste you will find
Hyperborean continent entombed from time

From ancient Yuggoth, black rays emit
Evils narcotic cyclopean pits
In dark babelian towers await
Lie dreaming until the time will awake, yeah

Black chant mirrors the song of the stars
Open the abyss dreamt from afar
Abominations drawn to our dimension
Feed black desires, aid human ascension

Black chanting grows
From caverns below
Echo through time
Reveal the sign

From ancient Yuggoth, black rays emit
Evils narcotic cyclopean pits, yeah
In dark babelian towers await
Lie dreaming until the time will awake, yeah"
67,Dopethrone,Weird Tales / Electric Frost / Golgatha / Altar of Melektaus,"[Hook]
From ancient Yuggoth, black rays emit
Evils narcotic cyclopean pits
In dark babelian towers await
Lie dreaming until the time will awake

[Verse 1]
What man has seen unknown Kadath
Whose dreamy angles, confused and trapped
Beyond the frozen waste you will find
Hyperborean continent entombed from time

[Hook]

[Verse 2]
Black chant mirrors the song of the stars
Open the abyss dreamt from afar
Abominations drawn to our dimension
Feed black desires, aid human ascension

Black chanting grows
From caverns below
Echo through time
Reveal the sign

[Hook]"
68,,Weird tales / electric frost / golgotha / altar of melektaus,"From ancient Yuggoth, black rays emit
Evils narcotic cyclopean pits
In dark babelian towers await
Lie dreaming until the time will awake

What man has seen unknown Kadath
Whose dreamy angles, confused and trapped
Beyond the frozen waste you will find
Hyperborean continent entombed from time

From ancient Yuggoth, black rays emit
Evils narcotic cyclopean pits
In dark babelian towers await
Lie dreaming until the time will awake, yeah

Black chant mirrors the song of the stars
Open the abyss dreamt from afar
Abominations drawn to our dimension
Feed black desires, aid human ascension

Black chanting grows
From caverns below
Echo through time
Reveal the sign

From ancient Yuggoth, black rays emit
Evils narcotic cyclopean pits, yeah
In dark babelian towers await
Lie dreaming until the time will awake, yeah"
69,We Live,We Live,"Fist cracks the earth
Coffin womb for rebirth
Betrayed by the living

They soon shall be giving
We live
Not dead
We live
We kill....

Can't fucking die
Can't fucking win
Got something to prove
Got nothing to lose

You hoped I was dead
But I'm born again
I shall be avenged
Cold blooded revenge"
70,Time to Die,We Love the Dead,"I creep amongst the graves and crypts
I love the dead, the living make me sick
Profit & greed, bleeding the world dry
You laugh at me but when you die......
You will be mine......
We love the dead, dead eyes can't disguise
We love the dead, no more lies....or deceit
The living betrayed me I only trust the dead
In your tomb now my vengeance spreads.....
We Love The Dead
We trust the dead
We are the dead
When will you die too...?
I'll leave black flowers on your grave...."
71,Let Us Pray,"We, the Undead","Undead!
Undead!
Undead!
Undead!
Undead!

You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway
(undead!)

(undead!)
You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway

Now i see that motherfucker writin' on the wall
When you see, j-3-t
Thirty d bra
Fuck those haters i see
Cause i hate that you breathe
I see you duck
You little punk
You little fucking disease
I got h.u. tatted on the front of my arm
Boulevard
Brass knuckles in the back of the car
Cause we drunk drive cadillacs- we never go far
And when you see us motherfuckers
Better know who we are

I got one thing to say to punk asses who hate
Motherfuckers who don't know what
You better watch what you say
From these industry fucks
To these faggot ass punks
You don't know what it takes
To get this motherfucking truck

I'm already loud maybe
It's a little too late
Johny's taking hands up, with all the faggots who hate
Cause i am good motherfucker and there's a price to pay
Yeah, i am a good motherfucker and its judgment day!

(undead!)
You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway
(undead!)

(undead!)
You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway

I'm getting used to this nuisance
And all the fags who bad mouth this music
It's fuckin stupid and foolish of you to think you can do this
You cowards can't, never will, don't even try to pursue it
I took the chance, i played the pill, i nearly died for this music

You make me wanna run around, pulling my guns out and shit
Your tempting me to run my mouth, and call you out on this bitch
I heard the reason you got to beater to believe any of this
You need to slit your wrist, get pissed and go jump off a bridge

What? you can't see the sarcasm in the verses i spit?
What? you think i just got lucky and didn't work for this shit?
Bitch. i've been working at this ever since i was a kid
I played a million empty shows to only family and friends

What kind of person gets disembanded and deserves to get big?
I hate to be that person when my verse comes out of the kid's lips
That shits as worse as it gets
This verse is over, i quit
Signed charlie scene on your girlfriend's tits

(undead!)
You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway
(undead!)

(undead!)
You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway

White boys with tattoos
We are pointing right at you
We are breaking everything, r-rowdy like a classroom
Pack of wolves
'cause we don't follow the rules
And when you're running your mouth
Our razor blades come out
Because its nothing in my mouth except my dick and what i spit
So my dick is in my hand when i respond to faggots talking shit
Speaking of fags, already wrap with the drag
We killed him and then we stuffed his body in the cadillac

Why you always pressin?
You know i'm never stressing
With fucking dms
J-johny to my left
Got phantom and the rest
Who are down there at the west
A grew up by drive-by's and l.a gangsta's

So what the fuck do you know about being a gangsta?
What the fuck do you know about being in danger?
You ain't doing this, so you know you're just talking shit
Mad at all the boys because every song is a fucking hit

(undead!)
You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway
(undead!)

(undead!)
You better get up out the way
Tomorrow we'll rise so we fight today
And no, i don't give a fuck what you think and say
'cause we are gonna rock this whole place anyway

Motherfucking time to ride, (ride,) (undead!)
See you drop when we drive by, (by) (undead!)
Motherfucking time to ride, (ride,) (undead!)
Watch you fucker's just die, (die) (undead!)"
72,Wizard Bloody Wizard,Wicked Caresses,"They light black candles
A chant begins
Inside her coffin
She spreads her wings

Her wicked caresses
And obscene kisses
Her wicked caresses
And obscene kisses

Her serpent body writhes
Dead eyes now open wide
My senses numbed by vices
Submerging in her darkness

Her wicked caresses
And obscene kisses
Her wicked caresses
And obscene kisses

Her icy touch enslaves my soul
I need her evil but she's so cold

Your cold, so evil
I'm lost, I need you

They light black candles
A chant begins
Inside her coffin
She spreads her wings

Her wicked caresses
And obscene kisses
Her wicked caresses
And obscene kisses

Her icy touch enslaves my soul
I need her evil but she's so cold

Your cold, so evil
I'm lost, I need you

Your wicked caresses
And obscene kisses"
73,Witchcult Today,Witchcult Today,"Come fanatics, come to the sabbath
Thirteen dressed in black are here
Screaming, naked our altar
Kissed by the whip, now satans daughter

Our witchcult grows...

Black goat forms from dopesmoke
Baphomet we bow to thee
Higher, higher devils disciples
Nameless chants breed sorcery

Our witchcult grows...

Father, mother, our brethren your children
Black masses, black magic, with drugs
Our witchcult grows..."
74,Come My Fanatics....,Wizard in Black,"[Verse 1]
A tower stands on the edge of time
Upon it stands the astral mind
The burning chaosphere seethes behind
Ours to see yet we are blind

[Hook]
The eyes of God look upon what he's done
And the eyes of Man look on and beyond
I am a god, I am the one
Into the chaos see my time has begun

[Verse 2]
The wizard in black reveals the sign
The chosen are ready, destiny realigns
Eye of ultra soul, together we join
Alone again, once again, into the void

[Hook]

[Verse 3]
Cosmic eye in the heart of the sun
Freedom rays awaken the chosen ones

[Hook]"
75,Electric Wizard,Wooden Pipe,"One day we were sitting and wondering where it's at
When down came a dragon with a wizard on his back
He said to us, step up, wanna take you for a trip
Then up we flew off into space and the astral gates we slipped
Alright

Looking back behind us, to the freaks and heads we wave
And off beyond our system out until they're deep in space
And on the edge of time and space there stood two towers black
But on we flew, the wizard knew there was no turning back
Cast your spell on me

Higher and higher, through the cosmos we had tripped
Seeing stars turned inside out, we thought our minds had flipped
Colors swirling, sounds are drifting, thinking we were dead
The wizard turned and spoke to us and, this is what he said

Through the virgin universe, upon his back we played
Creating and destroying with the music we made
Undulate the cosmic rhythm, galaxies were born
Clouds of blue, fluorescent dunes, spreading out before
Yeah"
